role,profile._id,event._id
Designer,s2BogcmwCXJSam8Xi,7ZomBFeeCrXYALQYQ
Designer,fTyYaqsbHzEcxNbJp,7ZomBFeeCrXYALQYQ
Designer,dNDYzHCyJL6aJbaLZ,7ZomBFeeCrXYALQYQ
Music Assistant,G3zY2HgH46DXCvMsr,7ZomBFeeCrXYALQYQ
Casting Director,mihob4y5dNoTtzjfg,7ZomBFeeCrXYALQYQ
Director,5877b58717334f313edb4a20,N8jqMuXpnx5MXuR5k
Assistant Director,68L39MJQPZDkyaNhC,N8jqMuXpnx5MXuR5k
Performer,jtvkN4Eago5MrA33E,N8jqMuXpnx5MXuR5k
Performer,8rumYbjGwFHmirKbd,N8jqMuXpnx5MXuR5k
Performer,nW4sG33h8cj69ti3u,N8jqMuXpnx5MXuR5k
Performer,LYMynqGBLbxHrJ5Nc,N8jqMuXpnx5MXuR5k
Performer,eS8gfR5XkXZp8Ehhi,N8jqMuXpnx5MXuR5k
Performer,rA2GsSXnyNZwd8gBv,N8jqMuXpnx5MXuR5k
Performer,6CoFN6adccHY2LDFi,N8jqMuXpnx5MXuR5k
Performer,JFCPiJCHEgECYXJKH,N8jqMuXpnx5MXuR5k
Production Manager,wkfWMYL2paRCLsuC4,N8jqMuXpnx5MXuR5k
Sound Design,dcryxSk5ZpFbQh36f,N8jqMuXpnx5MXuR5k
Assistant Stage Manager,aPXvRi3RqjXFrfpNt,N8jqMuXpnx5MXuR5k
Projections Operator,ydtJdikpNyzkF4LyG,N8jqMuXpnx5MXuR5k
Projections Designer,5877b38117334f313edb4501,N8jqMuXpnx5MXuR5k
Scenic Design,5877b58717334f313edb4a20,N8jqMuXpnx5MXuR5k
Assistant Stage Manager,TqbQnbTMHghKe8dnz,N8jqMuXpnx5MXuR5k
Master Electrician,qT8MsHhHLSX3oFhty,N8jqMuXpnx5MXuR5k
Costume Design,bmDGptBwS3oeNcxbf,N8jqMuXpnx5MXuR5k
Props Master,Mo6F633Sx4LrMWSYv,N8jqMuXpnx5MXuR5k
Assistant Production Manager,jkLLSjEgkYLRHiGtx,N8jqMuXpnx5MXuR5k
Lighting Design,dN333cXt63WFdErTT,N8jqMuXpnx5MXuR5k
Producer,8crufCncqc2HwMEi5,7ZomBFeeCrXYALQYQ
Stage Manager,AoqEAS24wFhJh4hTp,N8jqMuXpnx5MXuR5k
Assistant Production Manager,nXHzwfAqTQd5NxH5E,N8jqMuXpnx5MXuR5k
Director,GKAuzTdkPjeH4MZMZ,f5SyDWuMTDZQDGHSy
Assistant Director,zRs74nxeyMGuxgLBs,f5SyDWuMTDZQDGHSy
Producer,bh9nG3THADQEZg8yv,f5SyDWuMTDZQDGHSy
Space Designer,jok4WanLzuvg5LFKD,f5SyDWuMTDZQDGHSy
Venue,EAKhFAaX8uLBky3cz,ZEFdyYhmXFkF7K47X
Musical Director,bNK3ruWbNcaAgjjFL,ZayZmhXStwLQpqP7G
Director,XcSmCKd8pquTqnKCp,ZayZmhXStwLQpqP7G
Choreographer,N8GtkxxmgB2NjaFyR,ZayZmhXStwLQpqP7G
Lighting Designer,KsJD49qGuoLwgC5Hf,ZayZmhXStwLQpqP7G
Director,sapGmvgCKDtnJDYfx,9uvnTWtTuSCga33eP
Artistic Associate,QQ3b4xKdmXe6CdQGA,9uvnTWtTuSCga33eP
Set Designer,SCDZKHuga5TdpJ8p9,9uvnTWtTuSCga33eP
Costume Designer,rWzC3BYTBttjBvxzt,9uvnTWtTuSCga33eP
Lighting Designer,DwBPicS7J4hSTi63p,9uvnTWtTuSCga33eP
Composer,xiEQ4da2jqd4EZibg,9uvnTWtTuSCga33eP
Sound Designer,SE42Q8TgLb6JXK5ab,9uvnTWtTuSCga33eP
Performer,fY2meBkBsHYjFY6Ny,9uvnTWtTuSCga33eP
Performer,vZt4G2RdDMdLzfze9,9uvnTWtTuSCga33eP
Performer,PHwHg3YySefotBuA6,9uvnTWtTuSCga33eP
Performer,bL3GbmpM3uma2KrDP,9uvnTWtTuSCga33eP
Performer,MRXYhrdWH57DaQomh,9uvnTWtTuSCga33eP
Performer,BxnyEjDmJR6q464Kd,9uvnTWtTuSCga33eP
Performer,egLySCpgtFwtJCJSH,9uvnTWtTuSCga33eP
Performer,wiEsTNrZj2vb7Ab3X,9uvnTWtTuSCga33eP
Performer,ZXbktEeEJfiuwHnzA,9uvnTWtTuSCga33eP
Playwright,TL74iB3bPF6z5E8on,h9iX8Zk9BxGZ8EgLi
Director,5877b58717334f313edb4a20,5WoAasrp2AHDs4XGn
Performer,GZacWHJ7XNEXrGq7g,5WoAasrp2AHDs4XGn
Performer,6CoFN6adccHY2LDFi,5WoAasrp2AHDs4XGn
Performer,68L39MJQPZDkyaNhC,5WoAasrp2AHDs4XGn
Performer,ouhrvNuBywDfGSeAL,5WoAasrp2AHDs4XGn
Performer,Na3wTvhKtiiXAmBFY,5WoAasrp2AHDs4XGn
Performer,v7zRw5txMHJr7r3ng,5WoAasrp2AHDs4XGn
Performer,SEXZY9xpRgczG7ZDL,5WoAasrp2AHDs4XGn
Performer,EXpKrE6fwZuxtucys,5WoAasrp2AHDs4XGn
Lighting Design,GefHDWxaqpWZknB2g,5WoAasrp2AHDs4XGn
Set Design,qhfHBPNL7N9f6pBpm,5WoAasrp2AHDs4XGn
Sound Design & Composition,r2jbJ3r8iM8RyrsPg,5WoAasrp2AHDs4XGn
Projections Design,4nNwWYWcGHcZ4NaWn,5WoAasrp2AHDs4XGn
Costume Design,JJMYL6krunr3h3WJs,5WoAasrp2AHDs4XGn
Director,hNRbKcbw3dPAyEi43,TKXXaNhtnXGfb4qo3
Lighting Design,2DBKPwHfFb5evLNpZ,TKXXaNhtnXGfb4qo3
Dramaturg,AbovqWrR6ffkSnEeA,TKXXaNhtnXGfb4qo3
"Scenic, Costume & Props Design",ztPHBAAZ6Bi2wi8HC,TKXXaNhtnXGfb4qo3
Presenter,5877b74017334f313edb4e6e,TKXXaNhtnXGfb4qo3
Producer,68L39MJQPZDkyaNhC,TKXXaNhtnXGfb4qo3
Publicity,2WpYxScCYXiM8whKN,TKXXaNhtnXGfb4qo3
Media Relations,dz7aHjt9f4u2bgmKM,TKXXaNhtnXGfb4qo3
Stage Manager,Kq4m9J5oyczJZ74Ta,TKXXaNhtnXGfb4qo3
Assistant Stage Manager,hrHDSdorJhWgWtAsJ,TKXXaNhtnXGfb4qo3
Sound Designer,skaLFpqKJJ9AFPxsW,TKXXaNhtnXGfb4qo3
Graphic Design,k5of3Hs9pwAH7bpD3,TKXXaNhtnXGfb4qo3
Web Master,o9JoCqpHrFHpEi2Gi,TKXXaNhtnXGfb4qo3
Performer/Principle Cooper,Ak6vNEbhaBhrrJnBv,TKXXaNhtnXGfb4qo3
Performer/Lorena Cooper,22Lf62386qH7pMfDH,TKXXaNhtnXGfb4qo3
Performer/Frank Fletcher,6YCA7GocbRobgEwPC,TKXXaNhtnXGfb4qo3
Performer/Finch,qhA3KWtWRbBTYLwsa,TKXXaNhtnXGfb4qo3
Director,B5JxrKRvsce4QQhyX,nsgL2BR8WCNKshGyi
Actor,mh3bqryhJd95HFyQn,nsgL2BR8WCNKshGyi
Co-Producer,5877b70c17334f313edb4df7,cddTv2XyHiW2uP3eg
Director,DMJwWReG22rMzru2o,cddTv2XyHiW2uP3eg
Sound Design,mbgJ2zZg5JRB3zwnw,cddTv2XyHiW2uP3eg
Performer,nD2CGPKcPswtpRatT,cddTv2XyHiW2uP3eg
Performer,6CoFN6adccHY2LDFi,cddTv2XyHiW2uP3eg
Performer,jnm2zrpu2HJv6tKhq,cddTv2XyHiW2uP3eg
Performer,JNTqyukGF8qAxYyaM,cddTv2XyHiW2uP3eg
Set Design,68L39MJQPZDkyaNhC,cddTv2XyHiW2uP3eg
Performer,Gup63AfBQyBTg4HtG,cddTv2XyHiW2uP3eg
Lighting Design,4jmYzvC7GFa4YW2yy,cddTv2XyHiW2uP3eg
Costume Design,MPkRHeQ6gsBCh4kYw,cddTv2XyHiW2uP3eg
Movement/Mask Consultant,ruY3vFoxquFqdx4jp,cddTv2XyHiW2uP3eg
director artistico,KJGSjLhS5epReivnr,FJtqX5bMd3vLuNE7T
"performer, co-creator",nx2dP9RFjnMz64S7q,5wvuSBBPhJ52e37hh
"Performer, co-creator",iSWNjnJvjzQm6iWeB,5wvuSBBPhJ52e37hh
Venue,3kPnsjCwowAdPkZmX,5wvuSBBPhJ52e37hh
Translator,xWCzzxZtT85krLT33,Td5RtTz47tLcD9kvr
Director,8ac3kDbKCKQmmEea3,Td5RtTz47tLcD9kvr
Designer,wmvtCXRNKf3zvu6kE,et8dY6ZPQDQCySjpY
Director,6FnRPvf7GJDiLSoCY,HaeqxQe5TnuaMdjeM
Adaptor,6tZjwgRKMtBeKfqDx,HaeqxQe5TnuaMdjeM
Dramaturg,6tZjwgRKMtBeKfqDx,HaeqxQe5TnuaMdjeM
Stage Design and Costumes,dBgFzoHfqsKf9meBh,HaeqxQe5TnuaMdjeM
Stage Manager,DHrzRp5TAqAAXpWSR,HaeqxQe5TnuaMdjeM
Director,MY3m7BNzTkXWpJWeF,2RcRQkpBmZdJYTfnc
Director,dYQcNKaseSDMcDPFz,TFA2yDbeJJpoCLvGp
Director,aSjsvZ2n9KRCPoTBd,qbdPZKcDu2EnLCWi7
Director,soLucF2M6BHWHY7jE,2JY78ttFb8euPdgmp
Musical Director,AFGFaCXBtbZxNBRtP,2JY78ttFb8euPdgmp
Choreographer,GJvbwYSrpwETXy2oD,2JY78ttFb8euPdgmp
Performer,C7ECoAXYyteQRv6s7,2JY78ttFb8euPdgmp
Performer,2SxvJvnaxkfhr7FQC,qgsxsRotnKefe7DTs
Performer,yDCZYaKg9j9Kmm4Wt,qgsxsRotnKefe7DTs
Performer,RzTskmQBGpMCuKLTJ,qgsxsRotnKefe7DTs
Performer,HBq5ubk3RRNSZzz2s,qgsxsRotnKefe7DTs
Director,NJgbi8Z4EYRiNmeB7,qgsxsRotnKefe7DTs
Assistant Director,br5XEHbqXoeDffSvL,qgsxsRotnKefe7DTs
Director,QDeT8oEaXx9ym5JbZ,AiG6CbPoEnRobB3Yj
Performer,pLf92mztxsspEshwK,AiG6CbPoEnRobB3Yj
Performer,gCD6GzMWJAK5AfDLv,AiG6CbPoEnRobB3Yj
Performer,hKdEkWHhuvT72JQWY,AiG6CbPoEnRobB3Yj
Performer,tPun3ASoTdEHYKE4p,AiG6CbPoEnRobB3Yj
Performer,pzPw9jmQwkEd2fj5t,AiG6CbPoEnRobB3Yj
